"beds","baths","sqft","lot_size","property_type","exterior_walls","roof","basement","restaurants","groceries","nightlife","cafes","shopping","arts_entertainment","beauty_spas","active_life","median_age","married","college_grad","property_tax","insurance","median_school","num_schools","two_and_two","during_recession","property_age","school_score","tx_price"
1,1,584,0,"Apartment / Condo / Townhouse","Wood","Missing",0,107,9,30,19,89,6,47,58,33,65,84,234,81,9,3,0,1,0,27,295850
1,1,612,0,"Apartment / Condo / Townhouse","Brick","Composition Shingle",1,105,15,6,13,87,2,26,14,39,73,69,169,51,3,3,0,0,41,9,216500
1,1,615,0,"Apartment / Condo / Townhouse","Wood","Missing",0,183,13,31,30,101,10,74,62,28,15,86,216,74,8,3,0,1,49,24,279900
1,1,618,33541,"Apartment / Condo / Townhouse","Wood","Missing",0,198,9,38,25,127,11,72,83,36,25,91,265,92,9,3,0,0,5,27,379900
1,1,634,0,"Apartment / Condo / Townhouse","Brick","Missing",0,149,7,22,20,83,10,50,73,37,20,75,88,30,9,3,0,0,10,27,340000
1,1,641,0,"Apartment / Condo / Townhouse","Brick","Missing",0,146,10,23,27,86,9,60,52,28,15,86,168,58,8,3,0,0,57,24,265000
1,1,642,0,"Single-Family","Brick","Missing",0,159,13,36,17,92,12,66,50,28,36,88,176,61,7,3,0,1,67,21,240000
1,1,650,33541,"Apartment / Condo / Townhouse","Wood","Missing",0,198,9,38,25,127,11,72,83,36,25,91,266,92,9,3,0,0,5,27,388100
1,1,660,0,"Apartment / Condo / Townhouse","Brick","Missing",0,51,8,6,2,40,18,32,41,36,49,77,188,65,6,3,0,1,30,18,240000
1,1,664,0,"Apartment / Condo / Townhouse","Brick","Missing",0,119,10,26,25,183,13,70,36,57,13,83,147,51,6,3,0,0,42,18,250000
1,1,669,0,"Apartment / Condo / Townhouse","Wood","Missing",0,148,10,27,23,57,5,37,29,34,29,88,248,86,6,3,0,0,9,18,335000
1,1,673,46609,"Apartment / Condo / Townhouse","Other","Missing",0,193,10,37,27,133,10,74,86,29,15,82,262,90,9,3,0,0,1,27,376750
1,1,680,0,"Apartment / Condo / Townhouse","Brick","Composition Shingle",1,8,1,0,3,10,1,10,10,60,15,63,147,44,4,3,0,0,43,12,210000
1,1,685,48787,"Apartment / Condo / Townhouse","Brick","Missing",0,189,13,37,31,102,11,75,64,28,15,86,195,68,8,3,0,0,45,24,289900
1,1,687,0,"Apartment / Condo / Townhouse","Wood","Missing",0,266,12,54,45,328,35,126,88,28,52,72,421,146,8,3,0,0,6,24,535000
1,1,689,0,"Apartment / Condo / Townhouse","Brick","Composition Shingle",1,150,6,20,27,329,12,83,46,32,33,92,188,57,10,3,0,0,21,30,218000
1,1,689,0,"Apartment / Condo / Townhouse","Wood","Missing",0,198,9,38,25,126,12,72,84,29,15,82,276,96,9,3,0,0,8,27,400000
1,1,690,0,"Apartment / Condo / Townhouse","Brick","Composition Shingle",1,60,3,9,15,156,3,30,12,36,47,83,221,67,8,3,0,0,11,24,226000
1,1,692,0,"Apartment / Condo / Townhouse","Brick","Missing",0,180,14,37,34,104,13,72,68,36,25,75,302,104,8,3,0,0,0,24,363700
1,1,698,0,"Apartment / Condo / Townhouse","Brick","Missing",0,31,6,5,8,32,2,19,14,32,60,47,120,42,7,3,0,0,42,21,215000
1,1,698,9686,"Apartment / Condo / Townhouse","Other","Missing",0,146,7,22,20,79,10,49,74,27,21,94,256,88,9,3,0,1,5,27,327000
1,1,700,9686,"Apartment / Condo / Townhouse","Other","Missing",0,146,7,22,20,79,10,49,74,27,21,94,251,87,9,3,0,1,7,27,331100
1,1,703,0,"Apartment / Condo / Townhouse","Wood","Composition Shingle",1,82,6,7,8,45,6,52,13,30,46,36,139,42,7,3,0,0,13,21,240000
1,1,704,0,"Apartment / Condo / Townhouse","Brick","Composition Shingle",1,99,8,8,11,103,4,47,34,31,30,99,261,79,8,3,0,0,2,24,320000
1,1,704,0,"Apartment / Condo / Townhouse","Brick","Composition Shingle",1,99,9,8,11,103,4,46,34,31,30,99,257,78,8,3,0,0,0,24,290800
1,1,705,0,"Apartment / Condo / Townhouse","Brick","Missing",0,182,10,31,25,103,10,63,83,33,21,99,244,85,9,3,0,0,20,27,375000
1,1,709,111513,"Apartment / Condo / Townhouse","Wood","Missing",0,213,13,44,30,108,11,91,88,33,40,96,316,109,5,3,0,0,3,15,377000
1,1,711,0,"Apartment / Condo / Townhouse","Brick","Missing",0,51,9,6,2,43,18,35,42,36,49,77,201,69,6,3,0,0,70,18,262500
1,1,712,0,"Single-Family","Brick","Missing",0,53,13,7,3,43,19,43,41,36,23,90,187,64,6,3,0,0,60,18,216250
1,1,722,0,"Apartment / Condo / Townhouse","Siding (Alum/Vinyl)","Composition Shingle",1,101,8,8,11,74,4,30,26,33,48,85,218,66,4,3,0,0,20,12,270000
1,1,723,0,"Apartment / Condo / Townhouse","Other","Other",1,102,8,8,11,103,4,47,34,31,30,99,278,85,8,3,0,0,4,24,235000
1,1,724,0,"Apartment / Condo / Townhouse","Brick","Missing",0,122,11,27,25,183,12,69,36,57,13,83,118,41,6,3,0,0,51,18,225000
